SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,AvgMonthlyCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,-1.2802480369298874,-1.1616939352451685,-0.9941940877241977,0,-1.4472233206598961,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.06430268518835193,-0.2608779199297493,-0.17373981825040724,0,-0.1670591037358556,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,-1.2395040756535771,-0.3639232943754246,-0.9596491092068434,1,-0.7548788621149842,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0.512486259227765,-0.747850415293989,-0.19524770717404732,0,-0.6248883846655178,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
0,-1.2395040756535771,0.19617817640187488,-0.94045745447498,1,-0.2796601805101928,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.9950403079957154,1.1584890119510036,-0.6453692184426381,1,1.0514983563528837,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,-0.42462485012737144,0.8078023344020117,-0.14731268909089865,0,0.8414141755694761,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
0,-0.9135523854430948,-1.1650179795821258,-0.8741690378436584,0,-1.036881672233439,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,-0.18016108246950976,1.3296772953043026,0.33651554451135574,1,1.5060545372156833,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0,1.2051336009250397,-0.28747027462540753,0.5314762853391823,0,-0.12187821430249375,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
