avatarThumbnail;cid;createTime;createTimeISO;diggCount;input;likedByAuthor;pinnedByAuthor;repliesToId;replyCommentTotal;submittedVideoUrl;text;uid;uniqueId;videoWebUrl
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/2b472be5fdcb9e40be73bc05e73bc89e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c86b2bf6&x-expires=1746770400&x-signature=XaPayvT8cM62FrLsVKTpUr9%2BXS8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,50004E+18;1746239569;2025-05-03T02:32:49.000Z;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;proud to be part of PMM4 thank you so much pak nadiem🥹🙏🏻;7,04075E+18;sbrnspace;https://www.tiktok.com/@moodieyes/video/7499724737812188424
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/ec76629802386dfd126b2e701fdd5c1c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e364a1a8&x-expires=1746770400&x-signature=lBXrVNQ8odvqq7haCpGpvW2Floc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,50043E+18;1746329198;2025-05-04T03:26:38.000Z;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;greatest loss.;2,59775E+17;scrmncryn;https://www.tiktok.com/@moodieyes/video/7499724737812188424
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/39c6305bd0bc8cd31ab2d9ab95c6e529~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=67a99af6&x-expires=1746770400&x-signature=foRBaYgwWqMlckosT5fKjGQoLoo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,50087E+18;1746431755;2025-05-05T07:55:55.000Z;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;take me backk 🙇🏻🙇🏻🙇🏻🙇🏻;6,87721E+18;_imyourangellll;https://www.tiktok.com/@moodieyes/video/7499724737812188424
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/5e454220a59d9ca79b5c32af13b3199e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e49f5aa6&x-expires=1746770400&x-signature=bL1lzmxm0Pxz0m7B%2FnIN%2F3DtfQs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,49989E+18;1746204264;2025-05-02T16:44:24.000Z;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;1st batch here☝️☝️;7,25159E+18;puja_sabrina;https://www.tiktok.com/@moodieyes/video/7499724737812188424
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/60ca281e7413edeb964f5aa47e1e2e2d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=842f4bb2&x-expires=1746770400&x-signature=N3x3nBrn3amqATUVGSRGoHFazuc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,50028E+18;1746295788;2025-05-03T18:09:48.000Z;1;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;goodbye my sweet scar✨🥀;6,88972E+18;ababetzz;https://www.tiktok.com/@moodieyes/video/7499724737812188424
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/ab42d33e4330bfa91ed5989991017851~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=33966d9e&x-expires=1746770400&x-signature=vSh8pqIkX%2BtOADHOXXiJ5%2B8nhZ4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,49988E+18;1746203049;2025-05-02T16:24:09.000Z;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;hah?;6,53748E+18;14444141_;https://www.tiktok.com/@moodieyes/video/7499724737812188424
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7afedee3c6e75280522f43ecc4a42f92~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9cb05bf7&x-expires=1746770400&x-signature=A2eHZ481rs1l3NP61m2Ysf3wcvg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,49987E+18;1746199339;2025-05-02T15:22:19.000Z;2;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;2;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;couldn't be more grateful to be part of pmm4🥹🥹🥹🥹🥹;6,89111E+18;cutiesgatherings;https://www.tiktok.com/@moodieyes/video/7499724737812188424
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/07ed5a95aa76e0d01e7cd0a91b72385a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=283d4c6c&x-expires=1746770400&x-signature=lU0dK80XtMOZ%2B419RU5OO2GOElY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,50006E+18;1746243156;2025-05-03T03:32:36.000Z;2;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;Thanks for the opportunity, I can experience studying in Papua;6,81197E+18;bayammm_0;https://www.tiktok.com/@moodieyes/video/7499724737812188424
https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/ef95f98e528e1130ae41b12c7821af89~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bbd25e85&x-expires=1746770400&x-signature=h1A7Z6b5VoosT8OceqxWUHwoLu4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,49988E+18;1746202566;2025-05-02T16:16:06.000Z;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;glad to be part of pmm 2😭😭;6,8247E+18;peekaboommm;https://www.tiktok.com/@moodieyes/video/7499724737812188424
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/39c6305bd0bc8cd31ab2d9ab95c6e529~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=67a99af6&x-expires=1746770400&x-signature=foRBaYgwWqMlckosT5fKjGQoLoo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8;7,50087E+18;1746431660;2025-05-05T07:54:20.000Z;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;FALSE;FALSE;;0;https://www.tiktok.com/@moodieyes/video/7499724737812188424?is_from_webapp=1&sender_device=pc&web_id=7501957537399457288;PMM 4 MEAN A LOTS FOR MEE 💯💯💯💯❤️❤️❤️❤️;6,87721E+18;_imyourangellll;https://www.tiktok.com/@moodieyes/video/7499724737812188424
